#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,varF,ReH,ReE,ReHTilde,dvcs
1,21,5.75,1.82,0.343,-0.172,322.5,0.192749,0.00963746,0.05,3.56541,-20.0821,7.69726,0.0248743
1,22,5.75,1.82,0.343,-0.172,337.5,0.233202,0.0116601,0.05,3.56541,-20.0821,7.69726,0.0248743
1,23,5.75,1.82,0.343,-0.172,352.5,0.233382,0.0116691,0.05,3.56541,-20.0821,7.69726,0.0248743
2,0,5.75,1.933,0.368,-0.232,7.5,0.118011,0.00590056,0.05,1.25675,-3.85907,4.30696,0.00420767
2,1,5.75,1.933,0.368,-0.232,22.5,0.106241,0.00531207,0.05,1.25675,-3.85907,4.30696,0.00420767
2,2,5.75,1.933,0.368,-0.232,37.5,0.0798872,0.00399436,0.05,1.25675,-3.85907,4.30696,0.00420767
2,3,5.75,1.933,0.368,-0.232,52.5,0.0752392,0.00376196,0.05,1.25675,-3.85907,4.30696,0.00420767
2,4,5.75,1.933,0.368,-0.232,67.5,0.0487721,0.0024386,0.05,1.25675,-3.85907,4.30696,0.00420767
2,5,5.75,1.933,0.368,-0.232,82.5,0.0357403,0.00178701,0.05,1.25675,-3.85907,4.30696,0.00420767
2,6,5.75,1.933,0.368,-0.232,97.5,0.024244,0.0012122,0.05,1.25675,-3.85907,4.30696,0.00420767
2,7,5.75,1.933,0.368,-0.232,112.5,0.0165249,0.000826244,0.05,1.25675,-3.85907,4.30696,0.00420767
2,8,5.75,1.933,0.368,-0.232,127.5,0.0104825,0.000524124,0.05,1.25675,-3.85907,4.30696,0.00420767
2,9,5.75,1.933,0.368,-0.232,142.5,0.00720527,0.000360263,0.05,1.25675,-3.85907,4.30696,0.00420767
2,10,5.75,1.933,0.368,-0.232,157.5,0.00497708,0.000248854,0.05,1.25675,-3.85907,4.30696,0.00420767
2,11,5.75,1.933,0.368,-0.232,172.5,0.00352945,0.000176472,0.05,1.25675,-3.85907,4.30696,0.00420767
2,12,5.75,1.933,0.368,-0.232,187.5,0.00346539,0.000173269,0.05,1.25675,-3.85907,4.30696,0.00420767
2,13,5.75,1.933,0.368,-0.232,202.5,0.00472534,0.000236267,0.05,1.25675,-3.85907,4.30696,0.00420767
2,14,5.75,1.933,0.368,-0.232,217.5,0.00647917,0.000323958,0.05,1.25675,-3.85907,4.30696,0.00420767
2,15,5.75,1.933,0.368,-0.232,232.5,0.0116477,0.000582384,0.05,1.25675,-3.85907,4.30696,0.00420767
2,16,5.75,1.933,0.368,-0.232,247.5,0.015711,0.00078555,0.05,1.25675,-3.85907,4.30696,0.00420767
2,17,5.75,1.933,0.368,-0.232,262.5,0.0235249,0.00117624,0.05,1.25675,-3.85907,4.30696,0.00420767
2,18,5.75,1.933,0.368,-0.232,277.5,0.0371823,0.00185912,0.05,1.25675,-3.85907,4.30696,0.00420767
2,19,5.75,1.933,0.368,-0.232,292.5,0.0533179,0.00266589,0.05,1.25675,-3.85907,4.30696,0.00420767
2,20,5.75,1.933,0.368,-0.232,307.5,0.0723208,0.00361604,0.05,1.25675,-3.85907,4.30696,0.00420767
2,21,5.75,1.933,0.368,-0.232,322.5,0.0963141,0.00481571,0.05,1.25675,-3.85907,4.30696,0.00420767
2,22,5.75,1.933,0.368,-0.232,337.5,0.111012,0.00555062,0.05,1.25675,-3.85907,4.30696,0.00420767
2,23,5.75,1.933,0.368,-0.232,352.5,0.117141,0.00585707,0.05,1.25675,-3.85907,4.30696,0.00420767
3,0,5.75,1.964,0.375,-0.278,7.5,0.083714,0.0041857,0.05,0.262334,2.06071,2.21333,0.00534126
3,1,5.75,1.964,0.375,-0.278,22.5,0.0749925,0.00374962,0.05,0.262334,2.06071,2.21333,0.00534126
3,2,5.75,1.964,0.375,-0.278,37.5,0.057227,0.00286135,0.05,0.262334,2.06071,2.21333,0.00534126
3,3,5.75,1.964,0.375,-0.278,52.5,0.0470807,0.00235404,0.05,0.262334,2.06071,2.21333,0.00534126
3,4,5.75,1.964,0.375,-0.278,67.5,0.0357493,0.00178747,0.05,0.262334,2.06071,2.21333,0.00534126
3,5,5.75,1.964,0.375,-0.278,82.5,0.0252439,0.00126219,0.05,0.262334,2.06071,2.21333,0.00534126
3,6,5.75,1.964,0.375,-0.278,97.5,0.0160854,0.000804268,0.05,0.262334,2.06071,2.21333,0.00534126
3,7,5.75,1.964,0.375,-0.278,112.5,0.0119912,0.000599558,0.05,0.262334,2.06071,2.21333,0.00534126
3,8,5.75,1.964,0.375,-0.278,127.5,0.0104579,0.000522894,0.05,0.262334,2.06071,2.21333,0.00534126
3,9,5.75,1.964,0.375,-0.278,142.5,0.00824582,0.000412291,0.05,0.262334,2.06071,2.21333,0.00534126
3,10,5.75,1.964,0.375,-0.278,157.5,0.00676341,0.000338171,0.05,0.262334,2.06071,2.21333,0.00534126
3,11,5.75,1.964,0.375,-0.278,172.5,0.00605303,0.000302651,0.05,0.262334,2.06071,2.21333,0.00534126
3,12,5.75,1.964,0.375,-0.278,187.5,0.00587928,0.000293964,0.05,0.262334,2.06071,2.21333,0.00534126
3,13,5.75,1.964,0.375,-0.278,202.5,0.00662664,0.000331332,0.05,0.262334,2.06071,2.21333,0.00534126
3,14,5.75,1.964,0.375,-0.278,217.5,0.00785558,0.000392779,0.05,0.262334,2.06071,2.21333,0.00534126
3,15,5.75,1.964,0.375,-0.278,232.5,0.0104622,0.00052311,0.05,0.262334,2.06071,2.21333,0.00534126
3,16,5.75,1.964,0.375,-0.278,247.5,0.0124577,0.000622887,0.05,0.262334,2.06071,2.21333,0.00534126
3,17,5.75,1.964,0.375,-0.278,262.5,0.0184604,0.000923018,0.05,0.262334,2.06071,2.21333,0.00534126
3,18,5.75,1.964,0.375,-0.278,277.5,0.0265695,0.00132848,0.05,0.262334,2.06071,2.21333,0.00534126
3,19,5.75,1.964,0.375,-0.278,292.5,0.0382524,0.00191262,0.05,0.262334,2.06071,2.21333,0.00534126
3,20,5.75,1.964,0.375,-0.278,307.5,0.0481785,0.00240892,0.05,0.262334,2.06071,2.21333,0.00534126
3,21,5.75,1.964,0.375,-0.278,322.5,0.0619098,0.00309549,0.05,0.262334,2.06071,2.21333,0.00534126
3,22,5.75,1.964,0.375,-0.278,337.5,0.0771243,0.00385622,0.05,0.262334,2.06071,2.21333,0.00534126
3,23,5.75,1.964,0.375,-0.278,352.5,0.0866502,0.00433251,0.05,0.262334,2.06071,2.21333,0.00534126
4,0,5.75,1.986,0.379,-0.323,7.5,0.0726297,0.00363148,0.05,-0.625193,5.57494,0.272612,0.0118556
4,1,5.75,1.986,0.379,-0.323,22.5,0.0613603,0.00306801,0.05,-0.625193,5.57494,0.272612,0.0118556
4,2,5.75,1.986,0.379,-0.323,37.5,0.046488,0.0023244,0.05,-0.625193,5.57494,0.272612,0.0118556
4,3,5.75,1.986,0.379,-0.323,52.5,0.0437522,0.00218761,0.05,-0.625193,5.57494,0.272612,0.0118556
4,4,5.75,1.986,0.379,-0.323,67.5,0.0324443,0.00162222,0.05,-0.625193,5.57494,0.272612,0.0118556
4,5,5.75,1.986,0.379,-0.323,82.5,0.025615,0.00128075,0.05,-0.625193,5.57494,0.272612,0.0118556
4,6,5.75,1.986,0.379,-0.323,97.5,0.0221767,0.00110884,0.05,-0.625193,5.57494,0.272612,0.0118556
4,7,5.75,1.986,0.379,-0.323,112.5,0.019578,0.000978898,0.05,-0.625193,5.57494,0.272612,0.0118556
4,8,5.75,1.986,0.379,-0.323,127.5,0.0180156,0.000900779,0.05,-0.625193,5.57494,0.272612,0.0118556
4,9,5.75,1.986,0.379,-0.323,142.5,0.0178192,0.000890958,0.05,-0.625193,5.57494,0.272612,0.0118556
4,10,5.75,1.986,0.379,-0.323,157.5,0.0174335,0.000871676,0.05,-0.625193,5.57494,0.272612,0.0118556
4,11,5.75,1.986,0.379,-0.323,172.5,0.0165123,0.000825616,0.05,-0.625193,5.57494,0.272612,0.0118556
4,12,5.75,1.986,0.379,-0.323,187.5,0.0146564,0.000732819,0.05,-0.625193,5.57494,0.272612,0.0118556
4,13,5.75,1.986,0.379,-0.323,202.5,0.0161061,0.000805307,0.05,-0.625193,5.57494,0.272612,0.0118556
4,14,5.75,1.986,0.379,-0.323,217.5,0.0158312,0.000791559,0.05,-0.625193,5.57494,0.272612,0.0118556
4,15,5.75,1.986,0.379,-0.323,232.5,0.0166521,0.000832604,0.05,-0.625193,5.57494,0.272612,0.0118556
4,16,5.75,1.986,0.379,-0.323,247.5,0.019224,0.000961202,0.05,-0.625193,5.57494,0.272612,0.0118556
4,17,5.75,1.986,0.379,-0.323,262.5,0.0222626,0.00111313,0.05,-0.625193,5.57494,0.272612,0.0118556
4,18,5.75,1.986,0.379,-0.323,277.5,0.0262591,0.00131296,0.05,-0.625193,5.57494,0.272612,0.0118556
4,19,5.75,1.986,0.379,-0.323,292.5,0.0335945,0.00167973,0.05,-0.625193,5.57494,0.272612,0.0118556
4,20,5.75,1.986,0.379,-0.323,307.5,0.0411656,0.00205828,0.05,-0.625193,5.57494,0.272612,0.0118556
4,21,5.75,1.986,0.379,-0.323,322.5,0.049957,0.00249785,0.05,-0.625193,5.57494,0.272612,0.0118556
4,22,5.75,1.986,0.379,-0.323,337.5,0.0666639,0.00333319,0.05,-0.625193,5.57494,0.272612,0.0118556
4,23,5.75,1.986,0.379,-0.323,352.5,0.0677824,0.00338912,0.05,-0.625193,5.57494,0.272612,0.0118556
5,0,5.75,1.999,0.381,-0.371,7.5,0.0631022,0.00315511,0.05,-1.57362,7.97472,-1.71664,0.0237138
5,1,5.75,1.999,0.381,-0.371,22.5,0.0542649,0.00271325,0.05,-1.57362,7.97472,-1.71664,0.0237138
5,2,5.75,1.999,0.381,-0.371,37.5,0.0542871,0.00271435,0.05,-1.57362,7.97472,-1.71664,0.0237138
5,3,5.75,1.999,0.381,-0.371,52.5,0.0473849,0.00236925,0.05,-1.57362,7.97472,-1.71664,0.0237138
5,4,5.75,1.999,0.381,-0.371,67.5,0.0446267,0.00223134,0.05,-1.57362,7.97472,-1.71664,0.0237138
5,5,5.75,1.999,0.381,-0.371,82.5,0.0358521,0.0017926,0.05,-1.57362,7.97472,-1.71664,0.0237138
5,6,5.75,1.999,0.381,-0.371,97.5,0.0335484,0.00167742,0.05,-1.57362,7.97472,-1.71664,0.0237138
5,7,5.75,1.999,0.381,-0.371,112.5,0.0340006,0.00170003,0.05,-1.57362,7.97472,-1.71664,0.0237138
5,8,5.75,1.999,0.381,-0.371,127.5,0.0336028,0.00168014,0.05,-1.57362,7.97472,-1.71664,0.0237138
5,9,5.75,1.999,0.381,-0.371,142.5,0.0316737,0.00158369,0.05,-1.57362,7.97472,-1.71664,0.0237138
5,10,5.75,1.999,0.381,-0.371,157.5,0.0328283,0.00164142,0.05,-1.57362,7.97472,-1.71664,0.0237138
5,11,5.75,1.999,0.381,-0.371,172.5,0.0281446,0.00140723,0.05,-1.57362,7.97472,-1.71664,0.0237138
5,12,5.75,1.999,0.381,-0.371,187.5,0.0317407,0.00158703,0.05,-1.57362,7.97472,-1.71664,0.0237138
5,13,5.75,1.999,0.381,-0.371,202.5,0.0280754,0.00140377,0.05,-1.57362,7.97472,-1.71664,0.0237138
5,14,5.75,1.999,0.381,-0.371,217.5,0.0336578,0.00168289,0.05,-1.57362,7.97472,-1.71664,0.0237138
5,15,5.75,1.999,0.381,-0.371,232.5,0.0326084,0.00163042,0.05,-1.57362,7.97472,-1.71664,0.0237138
5,16,5.75,1.999,0.381,-0.371,247.5,0.0327378,0.00163689,0.05,-1.57362,7.97472,-1.71664,0.0237138
5,17,5.75,1.999,0.381,-0.371,262.5,0.0372746,0.00186373,0.05,-1.57362,7.97472,-1.71664,0.0237138
5,18,5.75,1.999,0.381,-0.371,277.5,0.0401145,0.00200572,0.05,-1.57362,7.97472,-1.71664,0.0237138
5,19,5.75,1.999,0.381,-0.371,292.5,0.0410005,0.00205002,0.05,-1.57362,7.97472,-1.71664,0.0237138
5,20,5.75,1.999,0.381,-0.371,307.5,0.0438783,0.00219392,0.05,-1.57362,7.97472,-1.71664,0.0237138
5,21,5.75,1.999,0.381,-0.371,322.5,0.0513577,0.00256788,0.05,-1.57362,7.97472,-1.71664,0.0237138
5,22,5.75,1.999,0.381,-0.371,337.5,0.0577781,0.0028889,0.05,-1.57362,7.97472,-1.71664,0.0237138
5,23,5.75,1.999,0.381,-0.371,352.5,0.0621998,0.00310999,0.05,-1.57362,7.97472,-1.71664,0.0237138
6,0,5.75,2.218,0.345,-0.176,7.5,0.18154,0.00907698,0.05,3.37914,-18.4831,7.45275,0.0116639
6,1,5.75,2.218,0.345,-0.176,22.5,0.168475,0.00842375,0.05,3.37914,-18.4831,7.45275,0.0116639
6,2,5.75,2.218,0.345,-0.176,37.5,0.141996,0.00709982,0.05,3.37914,-18.4831,7.45275,0.0116639
6,3,5.75,2.218,0.345,-0.176,52.5,0.125637,0.00628186,0.05,3.37914,-18.4831,7.45275,0.0116639
6,4,5.75,2.218,0.345,-0.176,67.5,0.0979959,0.0048998,0.05,3.37914,-18.4831,7.45275,0.0116639
6,5,5.75,2.218,0.345,-0.176,82.5,0.079282,0.0039641,0.05,3.37914,-18.4831,7.45275,0.0116639
6,6,5.75,2.218,0.345,-0.176,97.5,0.0694168,0.00347084,0.05,3.37914,-18.4831,7.45275,0.0116639
6,7,5.75,2.218,0.345,-0.176,112.5,0.0562395,0.00281197,0.05,3.37914,-18.4831,7.45275,0.0116639
6,8,5.75,2.218,0.345,-0.176,127.5,0.0387911,0.00193956,0.05,3.37914,-18.4831,7.45275,0.0116639
6,9,5.75,2.218,0.345,-0.176,142.5,0.0299828,0.00149914,0.05,3.37914,-18.4831,7.45275,0.0116639
6,10,5.75,2.218,0.345,-0.176,157.5,0.0263935,0.00131968,0.05,3.37914,-18.4831,7.45275,0.0116639
6,11,5.75,2.218,0.345,-0.176,172.5,0.025847,0.00129235,0.05,3.37914,-18.4831,7.45275,0.0116639
6,12,5.75,2.218,0.345,-0.176,187.5,0.0259127,0.00129563,0.05,3.37914,-18.4831,7.45275,0.0116639
6,13,5.75,2.218,0.345,-0.176,202.5,0.0246165,0.00123083,0.05,3.37914,-18.4831,7.45275,0.0116639
6,14,5.75,2.218,0.345,-0.176,217.5,0.0332799,0.00166399,0.05,3.37914,-18.4831,7.45275,0.0116639
6,15,5.75,2.218,0.345,-0.176,232.5,0.0414556,0.00207278,0.05,3.37914,-18.4831,7.45275,0.0116639
6,16,5.75,2.218,0.345,-0.176,247.5,0.0506739,0.0025337,0.05,3.37914,-18.4831,7.45275,0.0116639
6,17,5.75,2.218,0.345,-0.176,262.5,0.0681157,0.00340578,0.05,3.37914,-18.4831,7.45275,0.0116639
6,18,5.75,2.218,0.345,-0.176,277.5,0.080073,0.00400365,0.05,3.37914,-18.4831,7.45275,0.0116639
6,19,5.75,2.218,0.345,-0.176,292.5,0.0988579,0.00494289,0.05,3.37914,-18.4831,7.45275,0.0116639
6,20,5.75,2.218,0.345,-0.176,307.5,0.1321,0.00660501,0.05,3.37914,-18.4831,7.45275,0.0116639
6,21,5.75,2.218,0.345,-0.176,322.5,0.151818,0.00759091,0.05,3.37914,-18.4831,7.45275,0.0116639
6,22,5.75,2.218,0.345,-0.176,337.5,0.168512,0.00842558,0.05,3.37914,-18.4831,7.45275,0.0116639
6,23,5.75,2.218,0.345,-0.176,352.5,0.18457,0.00922852,0.05,3.37914,-18.4831,7.45275,0.0116639
7,0,5.75,2.318,0.363,-0.232,7.5,0.122844,0.00614222,0.05,1.55374,-4.05907,4.4941,0.00286214
7,1,5.75,2.318,0.363,-0.232,22.5,0.118637,0.00593184,0.05,1.55374,-4.05907,4.4941,0.00286214
7,2,5.75,2.318,0.363,-0.232,37.5,0.0898814,0.00449407,0.05,1.55374,-4.05907,4.4941,0.00286214
7,3,5.75,2.318,0.363,-0.232,52.5,0.0748073,0.00374037,0.05,1.55374,-4.05907,4.4941,0.00286214
7,4,5.75,2.318,0.363,-0.232,67.5,0.0545486,0.00272743,0.05,1.55374,-4.05907,4.4941,0.00286214
7,5,5.75,2.318,0.363,-0.232,82.5,0.0405816,0.00202908,0.05,1.55374,-4.05907,4.4941,0.00286214
7,6,5.75,2.318,0.363,-0.232,97.5,0.028303,0.00141515,0.05,1.55374,-4.05907,4.4941,0.00286214
7,7,5.75,2.318,0.363,-0.232,112.5,0.0204975,0.00102487,0.05,1.55374,-4.05907,4.4941,0.00286214
7,8,5.75,2.318,0.363,-0.232,127.5,0.0142758,0.00071379,0.05,1.55374,-4.05907,4.4941,0.00286214
7,9,5.75,2.318,0.363,-0.232,142.5,0.0104011,0.000520055,0.05,1.55374,-4.05907,4.4941,0.00286214
7,10,5.75,2.318,0.363,-0.232,157.5,0.00832249,0.000416125,0.05,1.55374,-4.05907,4.4941,0.00286214
7,11,5.75,2.318,0.363,-0.232,172.5,0.00684772,0.000342386,0.05,1.55374,-4.05907,4.4941,0.00286214
7,12,5.75,2.318,0.363,-0.232,187.5,0.00761782,0.000380891,0.05,1.55374,-4.05907,4.4941,0.00286214
7,13,5.75,2.318,0.363,-0.232,202.5,0.00886079,0.000443039,0.05,1.55374,-4.05907,4.4941,0.00286214
7,14,5.75,2.318,0.363,-0.232,217.5,0.0102391,0.000511956,0.05,1.55374,-4.05907,4.4941,0.00286214
7,15,5.75,2.318,0.363,-0.232,232.5,0.0147735,0.000738674,0.05,1.55374,-4.05907,4.4941,0.00286214
7,16,5.75,2.318,0.363,-0.232,247.5,0.019991,0.000999551,0.05,1.55374,-4.05907,4.4941,0.00286214
7,17,5.75,2.318,0.363,-0.232,262.5,0.029312,0.0014656,0.05,1.55374,-4.05907,4.4941,0.00286214
7,18,5.75,2.318,0.363,-0.232,277.5,0.0380758,0.00190379,0.05,1.55374,-4.05907,4.4941,0.00286214
7,19,5.75,2.318,0.363,-0.232,292.5,0.0556747,0.00278374,0.05,1.55374,-4.05907,4.4941,0.00286214
7,20,5.75,2.318,0.363,-0.232,307.5,0.071206,0.0035603,0.05,1.55374,-4.05907,4.4941,0.00286214
7,21,5.75,2.318,0.363,-0.232,322.5,0.0952828,0.00476414,0.05,1.55374,-4.05907,4.4941,0.00286214
7,22,5.75,2.318,0.363,-0.232,337.5,0.109658,0.00548289,0.05,1.55374,-4.05907,4.4941,0.00286214
7,23,5.75,2.318,0.363,-0.232,352.5,0.130009,0.00650047,0.05,1.55374,-4.05907,4.4941,0.00286214
8,0,5.75,2.348,0.368,-0.279,7.5,0.0993326,0.00496663,0.05,0.644448,1.8733,2.42696,0.00277266
8,1,5.75,2.348,0.368,-0.279,22.5,0.0865356,0.00432678,0.05,0.644448,1.8733,2.42696,0.00277266
8,2,5.75,2.348,0.368,-0.279,37.5,0.0678017,0.00339009,0.05,0.644448,1.8733,2.42696,0.00277266
8,3,5.75,2.348,0.368,-0.279,52.5,0.0529941,0.00264971,0.05,0.644448,1.8733,2.42696,0.00277266
8,4,5.75,2.348,0.368,-0.279,67.5,0.0394412,0.00197206,0.05,0.644448,1.8733,2.42696,0.00277266
8,5,5.75,2.348,0.368,-0.279,82.5,0.028058,0.0014029,0.05,0.644448,1.8733,2.42696,0.00277266
8,6,5.75,2.348,0.368,-0.279,97.5,0.0191257,0.000956286,0.05,0.644448,1.8733,2.42696,0.00277266
8,7,5.75,2.348,0.368,-0.279,112.5,0.0145045,0.000725223,0.05,0.644448,1.8733,2.42696,0.00277266
8,8,5.75,2.348,0.368,-0.279,127.5,0.0114728,0.00057364,0.05,0.644448,1.8733,2.42696,0.00277266
8,9,5.75,2.348,0.368,-0.279,142.5,0.00778308,0.000389154,0.05,0.644448,1.8733,2.42696,0.00277266
8,10,5.75,2.348,0.368,-0.279,157.5,0.00672523,0.000336262,0.05,0.644448,1.8733,2.42696,0.00277266
8,11,5.75,2.348,0.368,-0.279,172.5,0.00597269,0.000298634,0.05,0.644448,1.8733,2.42696,0.00277266
8,12,5.75,2.348,0.368,-0.279,187.5,0.00636625,0.000318313,0.05,0.644448,1.8733,2.42696,0.00277266
8,13,5.75,2.348,0.368,-0.279,202.5,0.00759784,0.000379892,0.05,0.644448,1.8733,2.42696,0.00277266
8,14,5.75,2.348,0.368,-0.279,217.5,0.00876431,0.000438215,0.05,0.644448,1.8733,2.42696,0.00277266
8,15,5.75,2.348,0.368,-0.279,232.5,0.0110555,0.000552774,0.05,0.644448,1.8733,2.42696,0.00277266
8,16,5.75,2.348,0.368,-0.279,247.5,0.0143666,0.000718328,0.05,0.644448,1.8733,2.42696,0.00277266
8,17,5.75,2.348,0.368,-0.279,262.5,0.0207076,0.00103538,0.05,0.644448,1.8733,2.42696,0.00277266
8,18,5.75,2.348,0.368,-0.279,277.5,0.0288743,0.00144372,0.05,0.644448,1.8733,2.42696,0.00277266
8,19,5.75,2.348,0.368,-0.279,292.5,0.0376104,0.00188052,0.05,0.644448,1.8733,2.42696,0.00277266
8,20,5.75,2.348,0.368,-0.279,307.5,0.0496214,0.00248107,0.05,0.644448,1.8733,2.42696,0.00277266
8,21,5.75,2.348,0.368,-0.279,322.5,0.0688309,0.00344154,0.05,0.644448,1.8733,2.42696,0.00277266
8,22,5.75,2.348,0.368,-0.279,337.5,0.0886493,0.00443247,0.05,0.644448,1.8733,2.42696,0.00277266
8,23,5.75,2.348,0.368,-0.279,352.5,0.0994225,0.00497112,0.05,0.644448,1.8733,2.42696,0.00277266
9,0,5.75,2.36,0.371,-0.325,7.5,0.0951301,0.0047565,0.05,-0.217397,5.37254,0.477089,0.00564967
9,1,5.75,2.36,0.371,-0.325,22.5,0.0757411,0.00378706,0.05,-0.217397,5.37254,0.477089,0.00564967
9,2,5.75,2.36,0.371,-0.325,37.5,0.0576309,0.00288155,0.05,-0.217397,5.37254,0.477089,0.00564967
9,3,5.75,2.36,0.371,-0.325,52.5,0.038377,0.00191885,0.05,-0.217397,5.37254,0.477089,0.00564967
9,4,5.75,2.36,0.371,-0.325,67.5,0.0311741,0.0015587,0.05,-0.217397,5.37254,0.477089,0.00564967
9,5,5.75,2.36,0.371,-0.325,82.5,0.0262629,0.00131314,0.05,-0.217397,5.37254,0.477089,0.00564967
9,6,5.75,2.36,0.371,-0.325,97.5,0.0199272,0.00099636,0.05,-0.217397,5.37254,0.477089,0.00564967
9,7,5.75,2.36,0.371,-0.325,112.5,0.0157251,0.000786254,0.05,-0.217397,5.37254,0.477089,0.00564967
9,8,5.75,2.36,0.371,-0.325,127.5,0.0137503,0.000687516,0.05,-0.217397,5.37254,0.477089,0.00564967
9,9,5.75,2.36,0.371,-0.325,142.5,0.0112738,0.000563692,0.05,-0.217397,5.37254,0.477089,0.00564967
9,10,5.75,2.36,0.371,-0.325,157.5,0.0110095,0.000550475,0.05,-0.217397,5.37254,0.477089,0.00564967
9,11,5.75,2.36,0.371,-0.325,172.5,0.0100022,0.000500112,0.05,-0.217397,5.37254,0.477089,0.00564967
9,12,5.75,2.36,0.371,-0.325,187.5,0.0105182,0.000525909,0.05,-0.217397,5.37254,0.477089,0.00564967
9,13,5.75,2.36,0.371,-0.325,202.5,0.0116551,0.000582753,0.05,-0.217397,5.37254,0.477089,0.00564967
9,14,5.75,2.36,0.371,-0.325,217.5,0.0123426,0.000617131,0.05,-0.217397,5.37254,0.477089,0.00564967
9,15,5.75,2.36,0.371,-0.325,232.5,0.0129752,0.000648762,0.05,-0.217397,5.37254,0.477089,0.00564967
9,16,5.75,2.36,0.371,-0.325,247.5,0.015239,0.000761949,0.05,-0.217397,5.37254,0.477089,0.00564967
9,17,5.75,2.36,0.371,-0.325,262.5,0.0181707,0.000908537,0.05,-0.217397,5.37254,0.477089,0.00564967
9,18,5.75,2.36,0.371,-0.325,277.5,0.0246574,0.00123287,0.05,-0.217397,5.37254,0.477089,0.00564967
9,19,5.75,2.36,0.371,-0.325,292.5,0.0314004,0.00157002,0.05,-0.217397,5.37254,0.477089,0.00564967
9,20,5.75,2.36,0.371,-0.325,307.5,0.0429697,0.00214848,0.05,-0.217397,5.37254,0.477089,0.00564967
9,21,5.75,2.36,0.371,-0.325,322.5,0.0583693,0.00291846,0.05,-0.217397,5.37254,0.477089,0.00564967
9,22,5.75,2.36,0.371,-0.325,337.5,0.0678265,0.00339133,0.05,-0.217397,5.37254,0.477089,0.00564967
9,23,5.75,2.36,0.371,-0.325,352.5,0.0891616,0.00445808,0.05,-0.217397,5.37254,0.477089,0.00564967
10,0,5.75,2.375,0.373,-0.372,7.5,0.0736984,0.00368492,0.05,-1.15977,7.69373,-1.47517,0.0113287
10,1,5.75,2.375,0.373,-0.372,22.5,0.0650287,0.00325144,0.05,-1.15977,7.69373,-1.47517,0.0113287
10,2,5.75,2.375,0.373,-0.372,37.5,0.048592,0.0024296,0.05,-1.15977,7.69373,-1.47517,0.0113287
10,3,5.75,2.375,0.373,-0.372,52.5,0.0422673,0.00211336,0.05,-1.15977,7.69373,-1.47517,0.0113287
10,4,5.75,2.375,0.373,-0.372,67.5,0.0308625,0.00154312,0.05,-1.15977,7.69373,-1.47517,0.0113287
